cluster_id,town_name,county_name,random_street_name,random_street_address,x,y
30,Montague,Sussex,Sawmill Rd,"Sawmill Rd, Montague, NJ, 07461",41.2646319,-74.7016174
29,Frankford,Sussex,Mattison Reservoir Ave,"Mattison Reservoir Ave, Frankford, NJ, 07826",41.2009,-74.7299582
29,Wantage,Sussex,Haggerty Rd,"Haggerty Rd, Wantage, NJ, 07461",41.1923722,-74.6732105
31,Frelinghuysen,Warren,Mill Road,"Mill Rd, Frelinghuysen, NJ, 07825",40.968521,-74.889091
31,Fredon,Sussex,Fredon Springdale Rd,"Fredon Springdale Rd, Fredon Township, NJ 07860",41.0222109,-74.7824882
31,Green,Sussex,Decker Pond Rd,"Decker Pond Rd, Green Township, NJ 07821",40.9564483,-74.7766167
31,Independece,Warren,Asbury Rd,"Asbury RdIndependence Township, NJ 07840",40.864322,-74.876007
31,Allamuchy,Warren,Waterloo Rd,"Waterloo RdAllamuchy Township, NJ 07840",40.888512,-74.799016
31,Andover,Sussex,Lenape Rd,"Lenape RdAndover, NJ 07821",40.987774,-74.741455
32,Mount Olive,Morris,Pleasant Hill Rd,"Pleasant Hill RdMt Olive, NJ",40.7522,-74.971017
33,Roxbury,Morris,Eyland Ave,"Eyland AveRoxbury Township, NJ 07876",40.865007,-74.632841
34,Rockaway,Morris,Jackson Ave,"Jackson AveRockaway, NJ 07866",40.900405,-74.511966
19,West Milford,Passaic,Clinton Rd,"Clinton RdWest Milford, NJ",40.635594,-74.907142
19,Ringwood,Passaic,Anderson Ave,"Anderson AveRingwood, NJ 07456",41.106995,-74.313893
20,Mahwah,Bergen,Halifax Rd,"Halifax RdMahwah, NJ 07430",41.086614,-74.184725
1,River Vale,Bergen,River Dr,"River DrRiver Vale, NJ 07675",40.988304,-74.029651
1,Harrington Park,Bergen,Old Hook Rd,"Old Hook Rd, Harrington Park, NJ",40.9791433,-73.9910442
1,Emerson,Bergen,Main St,"Main StEmerson, NJ",40.9740323,-74.0134009
1,Alpine,Bergen,Closter Dock Rd,"Closter Dock Rd, New Jersey",40.9769285,-73.9647365
1,Tenafly,Bergen,Piermont Rd,"Piermont RdTenafly, NJ",40.9273337,-73.9638474
21,Montville,Morris,Intervale Rd,"Intervale Rd, Montville, New Jersey",40.904787,-73.998792
21,Lincoln Park,Morris,2 Bridges Rd,"2 Bridges RdLincoln Park, NJ",40.899102,-74.274172
21,East Hanover,Morris,S Ridgedale Ave,"S Ridgedale AveEast Hanover, NJ",40.8044203,-74.3938871
